date,season,location,roost,roost type,box exp,other animals in roost,time,bat.id,bag nr,genus,species,transmitter,tx mass,tx attachment,tx time on,recap,mass w bag,mass of bag,mass of bat,sex,age,FA.right,FA.left,repro state,nipple ,testes,testes size,bucchal gland,streblids,streblid counts,mites,mite counts,other parasites,parasites coll?,wingpunch (Dna/MHC),wingpunch samples,isotopes,fur samples (isotopes),feces,foto,blood smear,blood sample,vaginal smear,teeth,Team,comment,,,
2012-05-07,spring,Kreuzlingen Seeburgpark,Kr Kasten 30,flachkasten,NA,0,10:00,00070B2B3D,NA,Nyctalus,noctula,no,NA,NA,NA,no,55,25,30,m,a,54,NA,scr,NA,l,NA,NA,NA,NA,NA,NA,NA,no,no,0,no,NA,NA,yes,no,no,no,,,"pigment free spots on nose, large bucchal glands, one dead bat in same box",,,
2012-05-07,spring,Kreuzlingen Seeburgpark,Kr Kasten 1,rundkasten,NA,1,10:00,00070B5465,NA,Nyctalus,noctula,no,NA,NA,NA,no,52,25,27,m,a,52.7,NA,nr,NA,s,NA,NA,NA,NA,NA,NA,bugs,bug,no,0,no,NA,NA,yes,no,no,no,,,scar on left propatagium,,,
2012-05-07,spring,Kreuzlingen Seeburgpark,Sommertonne neben Kasten 7,sommertonne,NA,1,10:00,00070B5C76,NA,Nyctalus,noctula,no,NA,NA,NA,no,56,26,30,f,a,54,NA,NA,s,NA,NA,NA,NA,NA,yes,medium,NA,no,no,0,no,NA,NA,yes,no,no,no,,,"many parasite scars, young from last year",,,
2012-05-10,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,40,21:15,0007088E11,G2,Nyctalus,noctula,no,NA,NA,NA,no,NA,NA,31.2,f,a,55.1,NA,NA,l,NA,NA,NA,no,NA,yes,many,no,no,no,0,fur,NA,NA,yes,no,no,no,,,5th finger: 58.1,,,
2012-05-10,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,40,21:15,000706ABBA,K19,Nyctalus,noctula,no,NA,NA,NA,no,NA,NA,28.8,m,a,54.2,NA,NA,NA,s ,NA,NA,no,NA,no,NA,bug ,bug,no,0,fur,NA,NA,yes,no,no,no,,,5th finger: 59.4,,,
2012-05-10,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,40,21:15,0007087EAB,W1,Nyctalus,noctula,no,NA,NA,NA,no,NA,NA,32.5,f,a,54.4,NA,nulli,s,NA,NA,NA,no,NA,yes,medium,2 bugs,bugs,no,0,fur,NA,NA,yes,no,no,no,,,5th finger: 56.5,,,
2012-05-10,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,40,21:15,000708829E,K15,Nyctalus,noctula,no,NA,NA,NA,no,NA,NA,27.8,f,a,53.7,NA,NA,s,NA,NA,NA,no,NA,yes,medium,no,no,no,0,fur,NA,NA,yes,no,no,no,,,5th finger: ,56.5,,
2012-05-10,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,40,21:15,00070883D6,K12,Nyctalus,noctula,no,NA,NA,NA,no,NA,NA,23,m,a,53.6,NA,NA,NA,s,NA,NA,no,NA,yes,many,no,no,no,0,fur,NA,NA,yes,no,no,no,,,5th finger: 54.4; hairless spot on back,,,
2012-05-10,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,40,21:15,00070884CA,K22,Nyctalus,noctula,no,NA,NA,NA,no,NA,NA,30.3,f,a,53.8,NA,NA,m,NA,NA,NA,no,NA,yes,many,no,no,no,0,fur,NA,NA,yes,no,no,no,,,5th finger:55.7,,,
2012-05-10,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,40,21:15,00070886CA,K31,Nyctalus,noctula,no,NA,NA,NA,no,NA,NA,27,m,a,53.5,NA,NA,NA,s,NA,NA,no,NA,yes,many,no,no,no,0,NA,NA,NA,yes,no,no,no,,,5th finger:55.3,,,
