"","event.id","visible","timestamp","location.long","location.lat","gps.hdop","gps.maximum.signal.strength","gps.satellite.count","ground.speed","height.above.ellipsoid","height.above.msl","sensor.type","individual.taxon.canonical.name","tag.local.identifier","individual.local.identifier","study.name"
"30",5995292509,"true","2018-04-19 19:40:02.000",-6.48096,36.98086,1.2,334,4,2.055555572,NA,34,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"31",5995292510,"true","2018-04-19 19:40:32.000",-6.48171,36.98007,1.3,470,3,5.13888893,NA,-4,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"32",5995292511,"true","2018-04-19 19:41:03.000",-6.48171,36.98007,1.3,365,5,3.083333358,NA,18,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"33",5995292512,"true","2018-04-19 19:41:33.000",-6.48142,36.97968,1,348,6,5.13888893,NA,10,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"34",5995292513,"true","2018-04-19 19:42:03.000",-6.48079,36.98009,1,404,6,6.166666716,NA,12,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"35",5995292514,"true","2018-04-19 19:42:33.000",-6.4806,36.98029,1,341,6,4.111111144,NA,18,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"36",5995292515,"true","2018-04-19 19:43:03.000",-6.48036,36.97954,1,375,6,4.111111144,NA,18,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"37",5995292516,"true","2018-04-19 19:43:33.000",-6.48012,36.98012,1,447,7,6.166666716,NA,12,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"38",5995292517,"true","2018-04-19 19:44:03.000",-6.4812,36.98183,1,440,6,9.250000074,NA,12,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"39",5995292518,"true","2018-04-19 19:44:33.000",-6.48032,36.98373,1,453,7,9.250000074,NA,24,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"40",5995292519,"true","2018-04-19 19:45:03.000",-6.48025,36.98313,1,381,7,4.111111144,NA,30,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"41",5995292520,"true","2018-04-19 19:45:33.000",-6.48013,36.98158,0.4,336,7,6.166666716,NA,18,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"42",5995292521,"true","2018-04-19 19:46:03.000",-6.48177,36.98079,1,349,6,4.111111144,NA,18,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"43",5995292522,"true","2018-04-19 19:46:33.000",-6.48119,36.97999,0.4,417,7,4.111111144,NA,30,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"44",5995292523,"true","2018-04-19 19:47:03.000",-6.4815,36.9789,1.2,292,5,13.388888996,NA,28,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"45",5995292524,"true","2018-04-19 19:47:33.000",-6.48192,36.97751,1,354,6,6.166666716,NA,32,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"46",5995292525,"true","2018-04-19 19:48:03.000",-6.48283,36.97649,0.4,381,7,1.027777786,NA,44,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"47",5995292526,"true","2018-04-19 19:48:33.000",-6.48287,36.97506,0.4,453,7,4.111111144,NA,34,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"48",5995292527,"true","2018-04-19 19:49:03.000",-6.48322,36.97393,0.4,388,7,4.111111144,NA,48,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"49",5995292528,"true","2018-04-19 19:49:33.000",-6.48242,36.97403,1.4,448,6,6.166666716,NA,30,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"50",5995292529,"true","2018-04-19 19:50:03.000",-6.481,36.97536,1,446,6,6.166666716,NA,22,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"51",5995292530,"true","2018-04-19 19:50:33.000",-6.48101,36.97617,1,395,6,5.13888893,NA,18,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"52",5995292531,"true","2018-04-19 19:51:03.000",-6.48057,36.9775,1,454,6,3.083333358,NA,-22,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"53",5995292532,"true","2018-04-19 19:51:33.000",-6.4793,36.97765,1,381,6,4.111111144,NA,36,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"54",5995292533,"true","2018-04-19 19:52:03.000",-6.47802,36.97759,1,399,6,5.13888893,NA,62,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"55",5995292534,"true","2018-04-19 19:52:33.000",-6.47665,36.97869,1,365,6,6.166666716,NA,48,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"56",5995292535,"true","2018-04-19 19:53:03.000",-6.47574,36.97891,1,406,6,5.13888893,NA,32,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"57",5995292536,"true","2018-04-19 19:53:33.000",-6.47432,36.97976,1,333,6,4.111111144,NA,26,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"58",5995292537,"true","2018-04-19 19:54:03.000",-6.47332,36.97935,1,422,6,3.083333358,NA,34,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"59",5995292538,"true","2018-04-19 19:54:33.000",-6.47211,36.9797,1,335,6,6.166666716,NA,28,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"60",5995292539,"true","2018-04-19 19:55:03.000",-6.47054,36.98057,1,438,5,4.111111144,NA,56,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"61",5995292540,"true","2018-04-19 19:55:33.000",-6.46917,36.98066,1.1,311,4,5.13888893,NA,38,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
