"","X","event.id","timestamp","location.long","location.lat","gps.hdop","gps.maximum.signal.strength","gps.satellite.count","ground.speed","height.above.msl","tlag","batID","BatDay","utm.x","utm.y","batIDday"
"A563.1555",1555,5995294115,2018-04-20 20:13:03,-6.44492,37.01762,2,422,3,13.388888996,78,31,"A563",2,193504.087901607,4102378.27886433,"A563.2"
"A563.1556",1556,5995294116,2018-04-20 20:13:34,-6.44484,37.01868,2,435,3,5.13888893,102,30,"A563",2,193515.471803961,4102495.66932843,"A563.2"
"A563.1557",1557,5995294117,2018-04-20 20:14:04,-6.44215,37.01888,2,405,3,2.055555572,194,30,"A563",2,193755.682517937,4102509.1936954,"A563.2"
"A563.1558",1558,5995294118,2018-04-20 20:14:34,-6.44181,37.0194,2,398,3,4.111111144,156,29,"A563",2,193788.03194741,4102565.81222455,"A563.2"
"A563.1559",1559,5995294119,2018-04-20 20:15:03,-6.44102,37.02023,2,448,3,4.111111144,128,30,"A563",2,193861.675429896,4102655.38744807,"A563.2"
"A563.1560",1560,5995294120,2018-04-20 20:15:33,-6.43905,37.02078,2,399,3,4.111111144,136,30,"A563",2,194039.208138247,4102710.08577494,"A563.2"
"A563.1561",1561,5995294121,2018-04-20 20:16:03,-6.43768,37.02188,2,192,3,4.111111144,50,31,"A563",2,194165.548863031,4102827.76281987,"A563.2"
"A563.1562",1562,5995294122,2018-04-20 20:16:34,-6.43709,37.0225,2,396,3,5.13888893,40,29,"A563",2,194220.544441131,4102894.67694725,"A563.2"
"A563.1563",1563,5995294123,2018-04-20 20:17:03,-6.43559,37.02368,2,269,3,6.166666716,66,31,"A563",2,194358.770033849,4103020.81728152,"A563.2"
"A563.1564",1564,5995294124,2018-04-20 20:17:34,-6.43529,37.02532,2,445,3,11.305555646,0,30,"A563",2,194392.047449043,4103201.87405225,"A563.2"
"A563.1565",1565,5995294125,2018-04-20 20:18:04,-6.43505,37.02794,2.1,397,3,9.250000074,18,29,"A563",2,194423.916325558,4103491.89308638,"A563.2"
"A563.1566",1566,5995294126,2018-04-20 20:18:33,-6.43353,37.02929,2.1,291,3,5.13888893,38,30,"A563",2,194564.591535901,4103636.83984619,"A563.2"
"A563.1567",1567,5995294127,2018-04-20 20:19:03,-6.43246,37.03105,2.1,356,3,8.222222288,104,30,"A563",2,194666.862795725,4103828.74048396,"A563.2"
"A563.1568",1568,5995294128,2018-04-20 20:19:33,-6.43137,37.03256,2.1,337,3,0,116,30,"A563",2,194769.907511106,4103992.83062008,"A563.2"
"A563.1569",1569,5995294129,2018-04-20 20:20:03,-6.43085,37.03354,2.1,305,3,2.055555572,-6,30,"A563",2,194820.105660625,4104099.92890197,"A563.2"
"A563.1570",1570,5995294130,2018-04-20 20:20:33,-6.42961,37.03403,2.1,267,3,4.111111144,98,31,"A563",2,194932.405194715,4104150.330138,"A563.2"
"A563.1571",1571,5995294131,2018-04-20 20:21:04,-6.42913,37.03503,2.1,428,3,7.194444502,34,29,"A563",2,194979.121478995,4104259.77744832,"A563.2"
"A563.1572",1572,5995294132,2018-04-20 20:21:33,-6.4276,37.03554,2.1,304,3,4.111111144,38,30,"A563",2,195117.301769131,4104311.46946676,"A563.2"
"A563.1573",1573,5995294133,2018-04-20 20:22:03,-6.42628,37.0366,2.1,314,3,7.194444502,34,30,"A563",2,195238.996178075,4104424.88127892,"A563.2"
"A563.1574",1574,5995294134,2018-04-20 20:22:33,-6.42462,37.03672,2.1,267,3,5.13888893,62,30,"A563",2,195387.178655286,4104432.87473077,"A563.2"
"A563.1575",1575,5995294135,2018-04-20 20:23:03,-6.42367,37.03612,2.1,290,3,3.083333358,48,32,"A563",2,195469.307315161,4104363.23511798,"A563.2"
"A563.1576",1576,5995294136,2018-04-20 20:23:35,-6.42261,37.03675,2.1,407,3,7.194444502,6,28,"A563",2,195566.142707523,4104429.75987021,"A563.2"
"A563.1577",1577,5995294137,2018-04-20 20:24:03,-6.42163,37.03774,2.1,319,3,2.055555572,84,30,"A563",2,195657.297409463,4104536.49790288,"A563.2"
"A563.1578",1578,5995294138,2018-04-20 20:24:33,-6.4206,37.03799,2.1,312,3,6.166666716,38,30,"A563",2,195749.941587023,4104560.94502858,"A563.2"
"A563.1579",1579,5995294139,2018-04-20 20:25:03,-6.4195,37.03797,2.1,292,3,4.111111144,46,29,"A563",2,195847.734839006,4104555.20204503,"A563.2"
"A563.1580",1580,5995294140,2018-04-20 20:25:32,-6.41848,37.03783,2.2,151,3,6.166666716,72,32,"A563",2,195937.930845554,4104536.3976857,"A563.2"
"A563.1581",1581,5995294141,2018-04-20 20:26:04,-6.41706,37.03782,2.2,409,3,4.111111144,72,29,"A563",2,196064.236444678,4104530.74270404,"A563.2"
"A563.1582",1582,5995294142,2018-04-20 20:26:33,-6.41586,37.03893,2.2,227,3,7.194444502,68,31,"A563",2,196175.436692289,4104650.10046521,"A563.2"
"A563.1583",1583,5995294143,2018-04-20 20:27:04,-6.41407,37.03894,2.2,414,3,4.111111144,90,29,"A563",2,196334.740672666,4104645.48562252,"A563.2"
"A563.1584",1584,5995294144,2018-04-20 20:27:33,-6.41251,37.03849,2.2,218,3,4.111111144,144,31,"A563",2,196471.746626641,4104590.55416101,"A563.2"
"A563.1585",1585,5995294145,2018-04-20 20:28:04,-6.41178,37.03937,2.2,396,3,5.13888893,72,29,"A563",2,196540.205674322,4104685.89119252,"A563.2"
"A563.1586",1586,5995294146,2018-04-20 20:28:33,-6.41057,37.03959,2.2,302,3,4.111111144,48,30,"A563",2,196648.740463592,4104706.44312834,"A563.2"
"A563.1587",1587,5995294147,2018-04-20 20:29:03,-6.40921,37.04016,2.2,148,3,4.111111144,46,31,"A563",2,196772.014558883,4104765.36339426,"A563.2"
"A563.1588",1588,5995294148,2018-04-20 20:29:34,-6.40733,37.03955,2.2,404,3,5.13888893,56,29,"A563",2,196936.855148711,4104691.65976869,"A563.2"
"A563.1589",1589,5995294149,2018-04-20 20:30:03,-6.40578,37.03938,2.2,363,3,3.083333358,46,30,"A563",2,197074.08755365,4104667.84683236,"A563.2"
"A563.1590",1590,5995294150,2018-04-20 20:30:33,-6.40398,37.03922,2.3,144,3,4.111111144,52,30,"A563",2,197233.603721626,4104644.34905781,"A563.2"
"A563.1591",1591,5995294151,2018-04-20 20:31:03,-6.40249,37.03904,2.3,232,3,4.111111144,82,30,"A563",2,197365.459084412,4104619.62234049,"A563.2"
"A563.1592",1592,5995294152,2018-04-20 20:31:33,-6.40124,37.03983,2.3,328,3,7.194444502,12,31,"A563",2,197479.815455681,4104703.32054921,"A563.2"
"A563.1593",1593,5995294153,2018-04-20 20:32:04,-6.39945,37.04019,2.3,391,3,5.13888893,114,29,"A563",2,197640.506693706,4104737.57603321,"A563.2"
"A563.1594",1594,5995294154,2018-04-20 20:32:33,-6.39788,37.04003,2.3,381,3,6.166666716,162,30,"A563",2,197779.558333755,4104714.82081947,"A563.2"
"A563.1595",1595,5995294155,2018-04-20 20:33:03,-6.39576,37.03963,2.3,198,3,5.13888893,226,31,"A563",2,197966.593439755,4104663.68162502,"A563.2"
"A563.1596",1596,5995294156,2018-04-20 20:33:34,-6.39336,37.03943,2.3,386,3,4.111111144,332,29,"A563",2,198179.335838212,4104633.85442108,"A563.2"
"A563.1597",1597,5995294157,2018-04-20 20:34:03,-6.39172,37.03913,2.3,253,3,4.111111144,432,30,"A563",2,198324.063209036,4104595.34763433,"A563.2"
"A563.1598",1598,5995294158,2018-04-20 20:34:33,-6.39064,37.03913,2.4,249,3,2.055555572,452,542,"A563",2,198420.154606434,4104591.91773961,"A563.2"
"A563.1599",1599,5995294159,2018-04-20 20:43:35,-6.41926,37.03646,1.4,427,6,8.222222288,-50,27,"A563",2,195863.057526919,4104386.84075171,"A563.2"
"A563.1600",1600,5995294160,2018-04-20 20:44:02,-6.41934,37.03547,2.1,429,6,6.166666716,150,31,"A563",2,195851.984962719,4104277.21825109,"A563.2"
"A563.1601",1601,5995294161,2018-04-20 20:44:33,-6.42434,37.03523,2.1,443,5,12.333333432,-42,30,"A563",2,195406.132000075,4104266.60356741,"A563.2"
"A563.1602",1602,5995294162,2018-04-20 20:45:03,-6.42755,37.03501,2,433,4,12.333333432,-58,29,"A563",2,195119.628646703,4104252.48490008,"A563.2"
"A563.1603",1603,5995294163,2018-04-20 20:45:32,-6.42824,37.03354,2.1,453,5,6.166666716,24,30,"A563",2,195052.346191106,4104091.54636534,"A563.2"
"A563.1604",1604,5995294164,2018-04-20 20:46:02,-6.42873,37.03221,1.4,399,6,4.111111144,42,30,"A563",2,195003.418792517,4103945.50447679,"A563.2"
